tube_no,barnname,rfid,lact,grp,dim_days,date,day_of_study,daily_milking,study_milking,milking_end,avgmilkdur_mins,milking_stall,milk_wt_lbs,tube_number,date_1,fat_percent,protein_percent,scc_thous_per_ml,lactose_percent,other_solids_percent,mun_mg_per_dl,solids_not_fat_percent,total_solids_percent,endtime
133,1146,840003268417055,1,A1,179,2025-06-30,1,3,1,10:54p,5.0,1,22.2,133,2025-06-30,2.9,3.0,23,4.7,5.9,8.0,8.9,11.8,2025-06-30 22:54:00
145,1179,840003268417711,1,A1,85,2025-06-30,1,3,1,11:03p,4.1,1,22.1,145,2025-06-30,3.2,2.6,114,4.9,6.0,13.7,8.6,11.8,2025-06-30 23:03:00
157,1151,840003268417052,1,A1,180,2025-06-30,1,3,1,11:12p,4.2,1,20.4,157,2025-06-30,3.3,2.7,23,4.7,5.8,12.9,8.5,11.8,2025-06-30 23:12:00
169,1149,840003268417040,1,A1,83,2025-06-30,1,3,1,11:22p,6.7,1,26.8,169,2025-06-30,2.7,2.4,757,4.6,5.8,12.2,8.2,10.9,2025-06-30 23:22:00
181,557,840003236994393,5,B2,232,2025-07-01,1,1,2,6:12a,3.9,1,47.8,181,2025-07-01,2.9,2.7,13,4.8,5.9,12.0,8.6,11.5,2025-07-01 06:12:00
193,490,840003236993334,5,B2,173,2025-07-01,1,1,2,6:26a,4.2,1,56.8,193,2025-07-01,3.2,2.6,150,4.6,5.7,11.4,8.3,11.5,2025-07-01 06:26:00
205,746,840003236993312,3,B2,89,2025-07-01,1,1,2,6:38a,5.1,1,67.4,205,2025-07-01,3.1,2.6,6,5.0,6.1,16.2,8.7,11.8,2025-07-01 06:38:00
217,947,840003250697476,2,B2,232,2025-07-01,1,1,2,6:50a,3.3,1,54.0,217,2025-07-01,3.3,2.9,24,4.7,5.8,13.6,8.7,12.0,2025-07-01 06:50:00
229,916,840003249943143,2,B2,315,2025-07-01,1,1,2,7:02a,4.8,1,44.7,229,2025-07-01,3.6,3.1,6,4.9,6.0,13.9,9.1,12.7,2025-07-01 07:02:00
241,1118,840003268416684,1,A1,243,2025-07-01,1,1,2,9:53a,3.8,1,49.1,241,2025-07-01,3.2,2.7,8,4.8,6.0,14.9,8.7,11.9,2025-07-01 09:53:00
253,1126,840003268416673,1,A1,219,2025-07-01,1,1,2,10:05a,3.4,1,42.4,253,2025-07-01,3.9,3.0,3,4.5,5.6,12.2,8.6,12.5,2025-07-01 10:05:00
265,1145,840003268417034,1,A1,189,2025-07-01,1,1,2,10:25a,3.2,1,47.5,265,2025-07-01,3.3,3.0,198,4.9,6.0,12.8,9.0,12.3,2025-07-01 10:25:00
277,1137,840003268417057,1,A1,214,2025-07-01,1,1,2,10:37a,3.6,1,49.9,277,2025-07-01,2.8,2.8,6,5.0,6.2,11.8,9.0,11.8,2025-07-01 10:37:00
289,1147,840003268417066,1,A1,193,2025-07-01,1,1,2,10:49a,5.0,1,48.7,289,2025-07-01,3.6,2.8,238,4.6,5.7,19.0,8.5,12.1,2025-07-01 10:49:00
301,557,840003236994393,5,B2,232,2025-07-01,1,2,2,11:16a,3.9,1,29.1,301,2025-07-01,3.5,2.6,14,4.8,5.9,14.8,8.5,12.0,2025-07-01 11:16:00
313,408,840003236993349,5,B2,250,2025-07-01,1,2,2,11:26a,3.6,1,17.1,313,2025-07-01,4.6,3.0,377,4.6,5.7,14.9,8.7,13.3,2025-07-01 11:26:00
325,679,840003236994043,4,B2,208,2025-07-01,1,2,2,11:34a,6.1,1,4.2,325,2025-07-01,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2025-07-01 11:34:00
337,645,840003236994019,4,B2,266,2025-07-01,1,2,2,11:44a,5.0,1,27.6,337,2025-07-01,4.8,3.0,415,4.5,5.6,14.7,8.6,13.4,2025-07-01 11:44:00
349,907,840003249943144,2,B2,213,2025-07-01,1,2,2,11:55a,4.1,1,25.2,349,2025-07-01,3.6,2.8,1642,4.7,5.8,14.4,8.6,12.2,2025-07-01 11:55:00
361,1177,840003268417035,1,A1,111,2025-07-01,2,2,3,5:52p,4.6,1,33.9,361,2025-07-01,3.0,2.6,344,4.8,5.9,15.5,8.5,11.5,2025-07-01 17:52:00
373,1083,840003268416706,1,A1,249,2025-07-01,2,2,3,6:02p,4.1,1,26.8,373,2025-07-01,3.8,3.3,25,4.9,6.0,13.9,9.3,13.1,2025-07-01 18:02:00
385,1181,840003268417712,1,A1,89,2025-07-01,2,2,3,6:11p,4.4,1,31.7,385,2025-07-01,3.6,2.8,914,5.0,6.1,12.7,8.9,12.5,2025-07-01 18:11:00
397,1168,840003268417049,1,A1,107,2025-07-01,2,2,3,6:22p,3.8,1,33.4,397,2025-07-01,3.6,2.9,148,4.8,6.0,13.6,8.9,12.5,2025-07-01 18:22:00
409,1212,840003268417673,1,A1,39,2025-07-01,2,2,3,6:31p,4.7,1,31.5,409,2025-07-01,3.5,2.9,19,5.0,6.1,10.9,9.0,12.5,2025-07-01 18:31:00
421,992,840003250697416,2,B2,50,2025-07-01,2,3,3,6:42p,3.9,1,39.9,421,2025-07-01,3.2,2.8,9,4.9,6.0,9.7,8.8,12.0,2025-07-01 18:42:00
433,947,840003250697476,2,B2,232,2025-07-01,2,3,3,6:57p,3.3,1,32.8,433,2025-07-01,4.0,3.0,38,4.6,5.7,15.1,8.7,12.7,2025-07-01 18:57:00
445,1023,840003250697412,2,B2,37,2025-07-01,2,3,3,7:09p,5.2,1,44.1,445,2025-07-01,3.3,2.8,4,4.9,6.0,13.8,8.8,12.1,2025-07-01 19:09:00
457,210,840003236992754,7,B2,123,2025-07-01,2,3,3,7:20p,4.5,1,46.2,457,2025-07-01,3.0,2.6,0,4.9,6.1,13.1,8.7,11.7,2025-07-01 19:20:00
469,961,840003250697461,2,B2,234,2025-07-01,2,3,3,7:34p,3.1,1,31.5,469,2025-07-01,3.2,3.2,1513,4.7,5.8,9.4,9.0,12.2,2025-07-01 19:34:00
481,1159,840003268417056,1,A1,156,2025-07-01,2,3,3,10:53p,4.3,1,20.5,481,2025-07-01,3.9,3.0,182,4.9,6.0,11.3,9.0,12.9,2025-07-01 22:53:00
493,1145,840003268417034,1,A1,190,2025-07-01,2,3,3,11:05p,3.3,1,21.2,493,2025-07-01,3.9,3.2,231,4.7,5.9,10.3,9.1,13.0,2025-07-01 23:05:00
505,1126,840003268416673,1,A1,220,2025-07-01,2,3,3,11:15p,3.4,1,19.5,505,2025-07-01,4.7,3.1,41,4.4,5.5,11.8,8.6,13.3,2025-07-01 23:15:00
517,1170,840003268417023,1,A1,103,2025-07-01,2,3,3,11:31p,3.5,1,24.5,517,2025-07-01,3.9,2.8,111,4.7,5.8,13.1,8.6,12.5,2025-07-01 23:31:00
529,1212,840003268417673,1,A1,40,2025-07-01,2,3,3,11:44p,4.7,1,20.4,529,2025-07-01,3.2,2.9,28,5.0,6.1,10.3,9.0,12.2,2025-07-01 23:44:00
541,490,840003236993334,5,B2,174,2025-07-02,2,1,4,5:57a,4.3,1,53.5,541,2025-07-02,3.5,2.7,124,4.6,5.7,11.0,8.4,11.9,2025-07-02 05:57:00
553,992,840003250697416,2,B2,51,2025-07-02,2,1,4,6:13a,3.9,1,48.0,553,2025-07-02,3.1,2.7,19,4.8,5.9,14.8,8.6,11.7,2025-07-02 06:13:00
565,408,840003236993349,5,B2,251,2025-07-02,2,1,4,6:27a,3.7,1,44.0,565,2025-07-02,3.2,2.9,94,4.7,5.8,10.3,8.7,11.9,2025-07-02 06:27:00
577,848,840003250697442,3,B2,46,2025-07-02,2,1,4,6:39a,4.2,1,69.6,577,2025-07-02,2.4,2.6,14,5.0,6.1,12.1,8.7,11.1,2025-07-02 06:39:00
589,967,840003250697462,2,B2,96,2025-07-02,2,1,4,6:55a,4.3,1,58.7,589,2025-07-02,2.3,2.3,4,4.1,5.2,14.8,7.5,9.8,2025-07-02 06:55:00
601,1083,840003268416706,1,A1,250,2025-07-02,2,1,4,9:36a,4.0,1,43.1,601,2025-07-02,3.4,3.0,7,4.9,6.0,11.8,9.0,12.4,2025-07-02 09:36:00
613,1157,840003268417026,1,A1,158,2025-07-02,2,1,4,9:47a,4.0,1,49.4,613,2025-07-02,3.1,2.7,219,4.8,5.9,13.2,8.6,11.7,2025-07-02 09:47:00
625,1135,840003268417062,1,A1,210,2025-07-02,2,1,4,9:57a,4.0,1,48.4,625,2025-07-02,3.3,2.8,48,4.5,5.6,10.8,8.4,11.7,2025-07-02 09:57:00
637,1179,840003268417711,1,A1,87,2025-07-02,2,1,4,10:08a,4.2,1,50.9,637,2025-07-02,2.5,2.4,53,4.9,6.0,13.2,8.4,10.9,2025-07-02 10:08:00
649,1210,840003268417717,1,A1,35,2025-07-02,2,1,4,10:17a,3.8,1,40.5,649,2025-07-02,3.1,2.6,16,4.9,6.0,11.4,8.6,11.7,2025-07-02 10:17:00
661,906,840003249943125,2,B2,207,2025-07-02,2,2,4,11:01a,4.3,1,19.3,661,2025-07-02,4.4,2.9,8,4.8,5.9,11.9,8.8,13.2,2025-07-02 11:01:00
673,947,840003250697476,2,B2,233,2025-07-02,2,2,4,11:11a,3.3,1,21.7,673,2025-07-02,4.5,2.9,58,4.5,5.6,18.3,8.5,13.0,2025-07-02 11:11:00
685,408,840003236993349,5,B2,251,2025-07-02,2,2,4,11:22a,3.7,1,18.6,685,2025-07-02,4.2,3.0,248,4.5,5.6,11.3,8.6,12.8,2025-07-02 11:22:00
697,916,840003249943143,2,B2,316,2025-07-02,2,2,4,11:35a,4.8,1,15.3,697,2025-07-02,4.2,3.0,27,4.8,5.9,16.6,8.9,13.1,2025-07-02 11:35:00
709,791,840003236994269,3,B2,285,2025-07-02,2,2,4,11:50a,5.6,1,18.5,709,2025-07-02,3.8,2.8,128,4.9,6.0,16.6,8.8,12.6,2025-07-02 11:50:00
721,1083,840003268416706,1,A1,250,2025-07-02,3,2,5,5:31p,4.0,1,28.7,721,2025-07-02,4.1,3.3,17,4.8,5.9,13.3,9.2,13.3,2025-07-02 17:31:00
733,1182,840003268417679,1,A1,86,2025-07-02,3,2,5,5:43p,3.8,1,25.6,733,2025-07-02,3.2,2.4,317,4.9,6.0,13.8,8.4,11.6,2025-07-02 17:43:00
745,1157,840003268417026,1,A1,158,2025-07-02,3,2,5,5:54p,4.0,1,33.4,745,2025-07-02,3.8,3.1,307,4.7,5.8,13.1,8.9,12.7,2025-07-02 17:54:00
757,1146,840003268417055,1,A1,181,2025-07-02,3,2,5,6:04p,5.3,1,37.1,757,2025-07-02,3.0,3.1,10,4.7,5.8,7.6,8.9,11.9,2025-07-02 18:04:00
769,1170,840003268417023,1,A1,103,2025-07-02,3,2,5,6:15p,3.5,1,37.5,769,2025-07-02,3.8,2.8,116,4.8,5.9,13.4,8.7,12.5,2025-07-02 18:15:00
781,791,840003236994269,3,B2,285,2025-07-02,3,3,5,6:27p,5.6,1,29.5,781,2025-07-02,3.6,3.0,161,4.9,6.0,14.4,9.0,12.6,2025-07-02 18:27:00
793,687,840003236992755,4,B2,255,2025-07-02,3,3,5,6:38p,4.5,1,33.2,793,2025-07-02,2.3,3.0,133,4.0,5.1,10.5,8.1,10.4,2025-07-02 18:38:00
805,34,840003236992766,7,B2,158,2025-07-02,3,3,5,6:49p,4.1,1,34.4,805,2025-07-02,3.2,3.0,91,4.6,5.7,10.2,8.7,11.9,2025-07-02 18:49:00
817,776,840003236994280,3,B2,259,2025-07-02,3,3,5,6:59p,4.8,1,37.6,817,2025-07-02,3.3,2.8,15,4.9,6.0,10.8,8.8,12.1,2025-07-02 18:59:00
829,616,840003236994014,4,B2,206,2025-07-02,3,3,5,7:10p,5.1,1,30.3,829,2025-07-02,4.3,2.9,43,5.0,6.1,12.5,9.0,13.3,2025-07-02 19:10:00
841,1195,840003268417703,1,A1,46,2025-07-02,3,3,5,10:32p,3.2,1,20.9,841,2025-07-02,4.2,2.8,40,5.0,6.2,13.5,9.0,13.2,2025-07-02 22:32:00
853,1191,840003268417677,1,A1,76,2025-07-02,3,3,5,10:42p,4.1,1,15.5,853,2025-07-02,3.0,2.4,253,5.1,6.2,11.8,8.6,11.6,2025-07-02 22:42:00
865,1194,840003268417675,1,A1,44,2025-07-02,3,3,5,10:51p,4.4,1,22.3,865,2025-07-02,3.6,2.9,41,5.0,6.1,7.9,9.0,12.6,2025-07-02 22:51:00
877,1179,840003268417711,1,A1,87,2025-07-02,3,3,5,11:00p,4.2,1,23.5,877,2025-07-02,3.5,2.6,116,4.9,6.0,11.4,8.6,12.1,2025-07-02 23:00:00
889,1161,840003268417064,1,A1,131,2025-07-02,3,3,5,11:11p,3.6,1,20.6,889,2025-07-02,4.1,3.4,1282,4.7,5.8,13.6,9.2,13.3,2025-07-02 23:11:00
901,687,840003236992755,4,B2,256,2025-07-03,3,1,6,5:45a,5.0,1,53.7,901,2025-07-03,1.7,2.9,88,4.0,5.1,10.2,8.0,9.7,2025-07-03 05:45:00
913,408,840003236993349,5,B2,252,2025-07-03,3,1,6,5:57a,3.7,1,42.6,913,2025-07-03,3.3,3.1,197,4.6,5.8,8.8,8.9,12.2,2025-07-03 05:57:00
925,679,840003236994043,4,B2,210,2025-07-03,3,1,6,6:11a,6.3,1,38.5,925,2025-07-03,4.0,3.0,20,4.8,5.9,8.5,8.9,12.9,2025-07-03 06:11:00
937,947,840003250697476,2,B2,234,2025-07-03,3,1,6,6:20a,3.3,1,53.0,937,2025-07-03,3.3,2.9,25,4.6,5.7,11.3,8.6,11.9,2025-07-03 06:20:00
949,985,840003250697506,2,B2,98,2025-07-03,3,1,6,6:32a,4.0,1,63.7,949,2025-07-03,3.5,2.8,5,4.9,6.0,10.8,8.8,12.3,2025-07-03 06:32:00
961,1137,840003268417057,1,A1,216,2025-07-03,3,1,6,9:11a,3.5,1,47.8,961,2025-07-03,3.0,2.7,8,4.9,6.0,10.4,8.7,11.7,2025-07-03 09:11:00
973,1083,840003268416706,1,A1,251,2025-07-03,3,1,6,9:21a,4.0,1,44.2,973,2025-07-03,3.5,3.1,7,4.9,6.0,10.5,9.1,12.6,2025-07-03 09:21:00
985,1189,840003268417685,1,A1,107,2025-07-03,3,1,6,9:31a,2.6,1,49.2,985,2025-07-03,3.0,2.7,1148,4.9,6.0,10.9,8.7,11.7,2025-07-03 09:31:00
997,1143,840003268417036,1,A1,202,2025-07-03,3,1,6,9:41a,4.3,1,52.9,997,2025-07-03,3.5,3.0,23,4.9,6.1,13.8,9.1,12.6,2025-07-03 09:41:00
1009,1101,840003268416711,1,A1,237,2025-07-03,3,1,6,9:51a,4.1,1,44.2,1009,2025-07-03,3.4,3.0,27,4.9,6.0,11.1,9.0,12.4,2025-07-03 09:51:00
1021,616,840003236994014,4,A1,207,2025-07-03,3,2,6,11:05a,5.1,1,12.7,1021,2025-07-03,2.7,3.0,4,5.0,6.1,10.7,9.1,11.8,2025-07-03 11:05:00
1033,947,840003250697476,2,A1,234,2025-07-03,3,2,6,11:15a,3.3,1,21.8,1033,2025-07-03,5.1,2.9,46,4.5,5.6,14.5,8.5,13.6,2025-07-03 11:15:00
1045,848,840003250697442,3,A1,47,2025-07-03,3,2,6,11:26a,4.3,1,33.2,1045,2025-07-03,3.8,2.6,9,4.9,6.0,12.4,8.6,12.4,2025-07-03 11:26:00
1057,967,840003250697462,2,A1,97,2025-07-03,3,2,6,11:36a,4.2,1,25.1,1057,2025-07-03,2.4,2.2,10,4.2,5.3,13.6,7.5,9.9,2025-07-03 11:36:00
1069,791,840003236994269,3,A1,286,2025-07-03,3,2,6,11:47a,5.6,1,24.2,1069,2025-07-03,4.0,2.8,135,4.9,6.0,15.9,8.8,12.8,2025-07-03 11:47:00
