tube_no,barnname,rfid,lact,grp,dim_days,date,day_of_study,daily_milking,study_milking,milking_end,avgmilkdur_mins,milking_stall,milk_wt_lbs,tube_number,date_1,fat_percent,protein_percent,scc_thous_per_ml,lactose_percent,other_solids_percent,mun_mg_per_dl,solids_not_fat_percent,total_solids_percent,endtime
274,1152,840003268417050,1,A1,177,2025-07-01,1,1,2,10:39a,3.0,10,46.7,274,2025-07-01,3.4,3.0,0,5.0,6.1,12.0,9.1,12.5,2025-07-01 10:39:00
286,1170,840003268417023,1,A1,102,2025-07-01,1,1,2,10:52a,3.7,10,56.0,286,2025-07-01,2.8,2.7,30,4.8,6.0,15.8,8.7,11.5,2025-07-01 10:52:00
298,1186,840003268417687,1,A1,68,2025-07-01,1,1,2,11:01a,4.3,10,55.9,298,2025-07-01,2.6,2.5,298,4.8,5.9,14.6,8.4,11.0,2025-07-01 11:01:00
310,821,840003268416460,3,B2,62,2025-07-01,1,2,2,11:21a,6.0,10,29.6,310,2025-07-01,3.8,2.1,18,4.2,5.3,17.6,7.4,11.2,2025-07-01 11:21:00
322,905,840003249943132,2,B2,240,2025-07-01,1,2,2,11:30a,5.1,10,25.0,322,2025-07-01,5.3,2.8,12,4.9,6.0,19.1,8.8,14.1,2025-07-01 11:30:00
334,934,840003249943164,2,B2,244,2025-07-01,1,2,2,11:42a,3.8,10,22.3,334,2025-07-01,3.6,2.5,14,4.6,5.7,15.4,8.2,11.8,2025-07-01 11:42:00
346,839,840003236992683,3,B2,206,2025-07-01,1,2,2,11:56a,3.1,10,23.4,346,2025-07-01,3.9,2.8,6,4.8,5.9,16.2,8.7,12.6,2025-07-01 11:56:00
358,655,840003236994015,4,B2,290,2025-07-01,1,2,2,12:06p,4.9,10,8.1,358,2025-07-01,4.4,3.0,4659,4.0,5.1,14.4,8.1,12.5,2025-07-01 12:06:00
370,1139,840003268417029,1,A1,197,2025-07-01,2,2,3,5:44p,3.5,10,30.3,370,2025-07-01,3.6,2.8,21,5.0,6.1,14.9,8.9,12.5,2025-07-01 17:44:00
382,1145,840003268417034,1,A1,189,2025-07-01,2,2,3,5:58p,3.2,10,27.0,382,2025-07-01,4.0,3.3,298,4.8,5.9,12.6,9.2,13.2,2025-07-01 17:58:00
394,1148,840003268417044,1,A1,146,2025-07-01,2,2,3,6:08p,2.7,10,28.4,394,2025-07-01,1.8,3.0,2715,4.9,6.0,10.8,9.0,10.8,2025-07-01 18:08:00
406,1200,840003268417695,1,A1,53,2025-07-01,2,2,3,6:20p,4.7,10,28.0,406,2025-07-01,3.5,2.8,59,4.9,6.0,12.5,8.8,12.3,2025-07-01 18:20:00
418,1213,840003268417672,1,A1,36,2025-07-01,2,2,3,6:35p,3.8,10,33.2,418,2025-07-01,3.1,2.4,131,4.3,5.4,11.7,7.8,10.9,2025-07-01 18:35:00
430,905,840003249943132,2,B2,240,2025-07-01,2,3,3,6:53p,5.1,10,34.7,430,2025-07-01,4.4,3.0,9,5.0,6.2,13.1,9.2,13.6,2025-07-01 18:53:00
442,901,840003268417022,3,B2,43,2025-07-01,2,3,3,7:06p,4.8,10,36.0,442,2025-07-01,2.7,2.4,11,4.5,5.6,10.1,8.0,10.7,2025-07-01 19:06:00
454,527,840003236993693,5,B2,177,2025-07-01,2,3,3,7:19p,6.1,10,39.2,454,2025-07-01,3.7,2.7,22,4.5,5.6,12.3,8.3,12.0,2025-07-01 19:19:00
466,809,840003236992655,3,B2,147,2025-07-01,2,3,3,7:30p,7.4,10,38.1,466,2025-07-01,3.5,3.0,2,4.9,6.0,13.8,9.0,12.5,2025-07-01 19:30:00
478,800,840003236994285,3,B2,171,2025-07-01,2,3,3,7:41p,5.1,10,37.4,478,2025-07-01,3.7,3.0,6,4.8,6.0,13.0,9.0,12.7,2025-07-01 19:41:00
490,1191,840003268417677,1,A1,76,2025-07-01,2,3,3,11:00p,4.1,10,20.6,490,2025-07-01,3.7,2.4,249,5.1,6.2,12.1,8.6,12.3,2025-07-01 23:00:00
502,1193,840003268416660,1,A1,85,2025-07-01,2,3,3,11:09p,3.6,10,20.9,502,2025-07-01,4.1,2.8,73,4.7,5.9,10.8,8.7,12.8,2025-07-01 23:09:00
514,1174,840003268416657,1,A1,116,2025-07-01,2,3,3,11:19p,3.7,10,24.0,514,2025-07-01,3.8,2.9,33,4.8,5.9,13.9,8.8,12.6,2025-07-01 23:19:00
526,1119,840003268416692,1,A1,135,2025-07-01,2,3,3,11:29p,4.6,10,23.1,526,2025-07-01,4.7,3.2,162,4.5,5.6,13.8,8.8,13.5,2025-07-01 23:29:00
538,1186,840003268417687,1,A1,69,2025-07-01,2,3,3,11:39p,4.3,10,26.8,538,2025-07-01,2.7,2.5,483,4.6,5.7,10.4,8.2,10.9,2025-07-01 23:39:00
550,901,840003268417022,3,B2,44,2025-07-02,2,1,4,6:12a,4.8,10,57.9,550,2025-07-02,2.0,2.3,9,4.4,5.5,8.7,7.8,9.8,2025-07-02 06:12:00
562,377,840003236994098,6,B2,232,2025-07-02,2,1,4,6:24a,4.5,10,51.1,562,2025-07-02,3.4,2.6,926,4.4,5.5,12.5,8.1,11.5,2025-07-02 06:24:00
574,1023,840003250697412,2,B2,38,2025-07-02,2,1,4,6:39a,5.3,10,66.0,574,2025-07-02,2.3,2.7,11,4.9,6.0,10.9,8.7,11.0,2025-07-02 06:39:00
586,487,840003236993327,5,B2,76,2025-07-02,2,1,4,6:52a,4.5,10,40.3,586,2025-07-02,3.3,2.7,8,4.9,6.0,14.3,8.7,12.0,2025-07-02 06:52:00
598,655,840003236994015,4,B2,291,2025-07-02,2,1,4,7:04a,4.9,10,30.6,598,2025-07-02,3.7,3.4,6164,4.2,5.3,12.5,8.7,12.4,2025-07-02 07:04:00
610,1118,840003268416684,1,A1,244,2025-07-02,2,1,4,9:29a,3.9,10,49.8,610,2025-07-02,3.0,2.7,36,4.8,6.0,12.9,8.7,11.7,2025-07-02 09:29:00
622,1167,840003268417033,1,A1,131,2025-07-02,2,1,4,9:41a,3.8,10,42.8,622,2025-07-02,3.5,3.0,72,5.1,6.2,12.4,9.2,12.7,2025-07-02 09:41:00
634,1137,840003268417057,1,A1,215,2025-07-02,2,1,4,9:52a,3.8,10,48.0,634,2025-07-02,2.7,2.7,4,4.9,6.1,11.6,8.8,11.5,2025-07-02 09:52:00
646,1181,840003268417712,1,A1,90,2025-07-02,2,1,4,10:01a,4.1,10,40.8,646,2025-07-02,2.8,2.8,1163,5.0,6.1,11.7,8.9,11.7,2025-07-02 10:01:00
658,1104,840003268416719,1,A1,235,2025-07-02,2,1,4,10:13a,4.6,10,53.0,658,2025-07-02,2.7,2.6,51,4.8,6.0,16.5,8.6,11.3,2025-07-02 10:13:00
670,661,840003236994032,4,B2,178,2025-07-02,2,2,4,11:01a,4.6,10,23.8,670,2025-07-02,3.6,2.7,52,4.6,5.7,10.1,8.4,12.0,2025-07-02 11:01:00
682,619,840003268416638,4,B2,158,2025-07-02,2,2,4,11:12a,4.7,10,22.7,682,2025-07-02,3.4,2.9,35,4.8,6.0,9.3,8.9,12.3,2025-07-02 11:12:00
694,839,840003236992683,3,B2,207,2025-07-02,2,2,4,11:23a,3.1,10,19.5,694,2025-07-02,3.8,2.9,2,4.7,5.8,14.4,8.7,12.5,2025-07-02 11:23:00
706,1023,840003250697412,2,B2,38,2025-07-02,2,2,4,11:33a,5.3,10,27.0,706,2025-07-02,3.7,2.7,11,4.9,6.0,16.3,8.7,12.4,2025-07-02 11:33:00
718,940,840003250697495,2,B2,209,2025-07-02,2,2,4,11:48a,5.2,10,26.1,718,2025-07-02,3.1,3.0,10,4.8,5.9,14.2,8.9,12.0,2025-07-02 11:48:00
730,1138,840003268417054,1,A1,204,2025-07-02,3,2,5,5:39p,4.7,10,34.6,730,2025-07-02,4.2,3.2,75,4.8,6.0,15.8,9.2,13.4,2025-07-02 17:39:00
742,1144,840003268417043,1,A1,192,2025-07-02,3,2,5,5:50p,4.4,10,31.6,742,2025-07-02,3.8,2.8,17,4.6,5.7,14.3,8.5,12.3,2025-07-02 17:50:00
754,1214,840003268416452,1,A1,28,2025-07-02,3,2,5,5:59p,4.3,10,31.4,754,2025-07-02,3.8,2.9,28,4.8,5.9,10.0,8.8,12.6,2025-07-02 17:59:00
766,1169,840003268417048,1,A1,133,2025-07-02,3,2,5,6:11p,4.5,10,37.4,766,2025-07-02,2.4,3.0,403,5.0,6.1,10.2,9.1,11.5,2025-07-02 18:11:00
778,1186,840003268417687,1,A1,69,2025-07-02,3,2,5,6:21p,4.3,10,42.3,778,2025-07-02,2.9,2.6,251,4.6,5.7,11.1,8.3,11.2,2025-07-02 18:21:00
790,527,840003236993693,5,B2,178,2025-07-02,3,3,5,6:33p,6.1,10,33.5,790,2025-07-02,3.5,2.7,30,4.6,5.7,11.4,8.4,11.9,2025-07-02 18:33:00
802,645,840003236994019,4,B2,267,2025-07-02,3,3,5,6:43p,5.0,10,33.8,802,2025-07-02,4.3,3.3,254,4.6,5.7,12.8,9.0,13.3,2025-07-02 18:43:00
814,897,840003249943136,2,B2,265,2025-07-02,3,3,5,6:54p,4.1,10,30.1,814,2025-07-02,4.2,3.1,19,4.8,5.9,10.9,9.0,13.2,2025-07-02 18:54:00
826,468,840003236994222,5,B2,168,2025-07-02,3,3,5,7:04p,4.9,10,33.6,826,2025-07-02,4.1,3.1,211,4.9,6.0,14.1,9.1,13.2,2025-07-02 19:04:00
838,661,840003236994032,4,B2,178,2025-07-02,3,3,5,7:16p,4.6,10,44.1,838,2025-07-02,2.9,2.8,8,4.7,5.8,8.1,8.6,11.5,2025-07-02 19:16:00
850,1159,840003268417056,1,A1,156,2025-07-02,3,3,5,10:27p,4.3,10,20.5,850,2025-07-02,3.6,3.0,588,4.8,5.9,9.1,8.9,12.5,2025-07-02 22:27:00
862,1146,840003268417055,1,A1,181,2025-07-02,3,3,5,10:38p,5.3,10,20.6,862,2025-07-02,3.0,3.0,29,4.6,5.8,7.9,8.8,11.8,2025-07-02 22:38:00
874,1138,840003268417054,1,A1,204,2025-07-02,3,3,5,10:46p,4.7,10,24.4,874,2025-07-02,4.1,3.2,66,4.8,5.9,14.1,9.1,13.2,2025-07-02 22:46:00
886,1173,840003268417025,1,A1,113,2025-07-02,3,3,5,10:56p,4.3,10,24.1,886,2025-07-02,3.1,2.9,238,5.0,6.1,10.1,9.0,12.1,2025-07-02 22:56:00
898,1210,840003268417717,1,A1,35,2025-07-02,3,3,5,11:06p,3.8,10,20.2,898,2025-07-02,3.1,2.7,33,4.7,5.9,10.3,8.6,11.7,2025-07-02 23:06:00
910,265,840003250697421,6,B2,223,2025-07-03,3,1,6,5:54a,3.2,10,52.5,910,2025-07-03,3.1,2.7,4,4.7,5.8,9.4,8.5,11.6,2025-07-03 05:54:00
922,760,840003236994258,3,B2,277,2025-07-03,3,1,6,6:03a,4.1,10,55.5,922,2025-07-03,2.9,2.8,11,4.8,5.9,10.2,8.7,11.6,2025-07-03 06:03:00
934,906,840003249943125,2,B2,208,2025-07-03,3,1,6,6:14a,4.4,10,48.4,934,2025-07-03,3.0,2.9,0,4.7,5.8,9.4,8.7,11.7,2025-07-03 06:14:00
946,809,840003236992655,3,B2,149,2025-07-03,3,1,6,6:26a,7.6,10,54.2,946,2025-07-03,2.2,2.2,4,4.3,5.4,10.9,7.6,9.8,2025-07-03 06:26:00
958,794,840003236994264,3,B2,217,2025-07-03,3,1,6,6:39a,5.5,10,55.3,958,2025-07-03,2.6,3.0,3,4.7,5.8,8.6,8.8,11.4,2025-07-03 06:39:00
970,1121,840003268416710,1,A1,179,2025-07-03,3,1,6,9:06a,4.2,10,45.8,970,2025-07-03,3.4,2.9,118,4.8,5.9,10.8,8.8,12.2,2025-07-03 09:06:00
982,1157,840003268417026,1,A1,159,2025-07-03,3,1,6,9:25a,4.0,10,51.2,982,2025-07-03,2.8,2.7,65,4.8,5.9,10.4,8.6,11.4,2025-07-03 09:25:00
994,1173,840003268417025,1,A1,114,2025-07-03,3,1,6,9:34a,3.9,10,45.6,994,2025-07-03,1.7,2.8,47,5.1,6.3,10.5,9.1,10.8,2025-07-03 09:34:00
1006,1199,840003268417720,1,A1,41,2025-07-03,3,1,6,9:46a,3.2,10,42.1,1006,2025-07-03,3.4,2.8,8,5.0,6.1,12.7,8.9,12.3,2025-07-03 09:46:00
1018,1179,840003268417711,1,A1,88,2025-07-03,3,1,6,9:56a,4.3,10,52.0,1018,2025-07-03,2.7,2.5,40,4.9,6.0,12.0,8.5,11.2,2025-07-03 09:56:00
1030,487,840003236993327,5,A1,77,2025-07-03,3,2,6,11:05a,4.4,10,30.1,1030,2025-07-03,4.4,2.5,15,4.7,5.8,16.5,8.3,12.7,2025-07-03 11:05:00
1042,992,840003250697416,2,A1,52,2025-07-03,3,2,6,11:14a,4.0,10,30.4,1042,2025-07-03,3.8,2.6,38,4.8,5.9,11.3,8.5,12.3,2025-07-03 11:14:00
1054,766,840003236994278,3,A1,270,2025-07-03,3,2,6,11:27a,4.7,10,22.1,1054,2025-07-03,4.2,2.8,54,4.7,5.8,10.9,8.6,12.8,2025-07-03 11:27:00
1066,821,840003268416460,3,A1,64,2025-07-03,3,2,6,11:37a,6.0,10,30.1,1066,2025-07-03,4.0,2.2,13,4.3,5.4,15.3,7.6,11.6,2025-07-03 11:37:00
1078,776,840003236994280,3,A1,260,2025-07-03,3,2,6,11:46a,4.8,10,31.9,1078,2025-07-03,4.1,2.7,18,4.8,5.9,12.5,8.6,12.7,2025-07-03 11:46:00
