tube_no,barnname,rfid,lact,grp,dim_days,date,day_of_study,daily_milking,study_milking,milking_end,avgmilkdur_mins,milking_stall,milk_wt_lbs,tube_number,date_1,fat_percent,protein_percent,scc_thous_per_ml,lactose_percent,other_solids_percent,mun_mg_per_dl,solids_not_fat_percent,total_solids_percent,endtime
159,1189,840003268417685,1,A1,104,2025-06-30,1,3,1,11:12p,2.6,3,18.2,159,2025-06-30,3.8,3.0,255,4.8,6.0,12.7,9.0,12.8,2025-06-30 23:12:00
171,1101,840003268416711,1,A1,234,2025-06-30,1,3,1,11:24p,4.2,3,18.3,171,2025-06-30,4.2,2.9,93,4.8,5.9,14.8,8.8,13.0,2025-06-30 23:24:00
183,848,840003250697442,3,B2,45,2025-07-01,1,1,2,6:13a,4.3,3,69.7,183,2025-07-01,2.5,2.7,0,5.0,6.1,14.2,8.8,11.3,2025-07-01 06:13:00
195,934,840003249943164,2,B2,244,2025-07-01,1,1,2,6:26a,3.8,3,47.5,195,2025-07-01,2.9,2.6,6,4.6,5.7,11.9,8.3,11.2,2025-07-01 06:26:00
207,967,840003250697462,2,B2,95,2025-07-01,1,1,2,6:38a,4.3,3,55.6,207,2025-07-01,2.2,2.3,7,4.2,5.3,14.6,7.6,9.8,2025-07-01 06:38:00
219,468,840003236994222,5,B2,167,2025-07-01,1,1,2,6:51a,5.0,3,39.2,219,2025-07-01,3.3,3.2,361,5.0,6.2,15.0,9.4,12.7,2025-07-01 06:51:00
231,655,840003236994015,4,B2,290,2025-07-01,1,1,2,7:02a,4.9,3,32.5,231,2025-07-01,3.5,3.1,3167,4.7,5.8,13.9,8.9,12.4,2025-07-01 07:02:00
243,1121,840003268416710,1,A1,177,2025-07-01,1,1,2,9:53a,4.2,3,47.4,243,2025-07-01,3.1,3.0,114,5.0,6.1,12.8,9.1,12.2,2025-07-01 09:53:00
255,1148,840003268417044,1,A1,146,2025-07-01,1,1,2,10:05a,2.7,3,44.2,255,2025-07-01,1.7,3.0,386,5.0,6.2,12.3,9.2,10.9,2025-07-01 10:05:00
267,1143,840003268417036,1,A1,200,2025-07-01,1,1,2,10:25a,4.4,3,52.1,267,2025-07-01,3.5,3.0,32,5.0,6.1,15.7,9.1,12.6,2025-07-01 10:25:00
279,1169,840003268417048,1,A1,132,2025-07-01,1,1,2,10:37a,4.5,3,53.0,279,2025-07-01,2.4,2.8,135,5.0,6.1,11.1,8.9,11.3,2025-07-01 10:37:00
291,1133,840003268417071,1,A1,209,2025-07-01,1,1,2,10:49a,3.8,3,48.5,291,2025-07-01,2.3,2.8,164,4.9,6.0,14.6,8.8,11.1,2025-07-01 10:49:00
303,377,840003236994098,6,B2,231,2025-07-01,1,2,2,11:16a,4.5,3,25.6,303,2025-07-01,3.8,2.4,916,4.2,5.3,15.5,7.7,11.5,2025-07-01 11:16:00
315,34,840003236992766,7,B2,157,2025-07-01,1,2,2,11:27a,4.1,3,21.2,315,2025-07-01,3.8,3.0,534,4.5,5.6,12.8,8.6,12.4,2025-07-01 11:27:00
327,848,840003250697442,3,B2,45,2025-07-01,1,2,2,11:35a,4.3,3,39.0,327,2025-07-01,3.9,2.5,14,4.8,6.0,14.6,8.5,12.4,2025-07-01 11:35:00
339,487,840003236993327,5,B2,75,2025-07-01,1,2,2,11:44a,4.4,3,3.5,339,2025-07-01,0.0,0.0,0,0.0,0.0,0.1,0.0,0.0,2025-07-01 11:44:00
351,458,840003236992403,6,B2,24,2025-07-01,1,2,2,11:55a,4.3,3,17.1,351,2025-07-01,3.6,2.6,85,4.7,5.8,11.4,8.4,12.0,2025-07-01 11:55:00
363,1193,840003268416660,1,A1,84,2025-07-01,2,2,3,5:53p,3.6,3,29.7,363,2025-07-01,4.0,2.8,84,4.8,5.9,15.5,8.7,12.7,2025-07-01 17:53:00
375,1126,840003268416673,1,A1,219,2025-07-01,2,2,3,6:02p,3.4,3,28.5,375,2025-07-01,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2025-07-01 18:02:00
387,1151,840003268417052,1,A1,181,2025-07-01,2,2,3,6:12p,4.2,3,33.3,387,2025-07-01,3.0,2.8,19,4.6,5.8,13.2,8.6,11.6,2025-07-01 18:12:00
399,1217,840003268416447,1,A1,29,2025-07-01,2,2,3,6:22p,4.3,3,25.4,399,2025-07-01,3.5,2.5,69,4.7,5.8,9.9,8.3,11.8,2025-07-01 18:22:00
411,1209,840003268417681,1,A1,31,2025-07-01,2,2,3,6:31p,3.8,3,39.5,411,2025-07-01,3.2,2.6,315,4.8,5.9,12.1,8.5,11.7,2025-07-01 18:31:00
423,408,840003236993349,5,B2,250,2025-07-01,2,3,3,6:44p,3.6,3,25.7,423,2025-07-01,4.1,3.2,295,4.6,5.7,10.9,8.9,13.0,2025-07-01 18:44:00
435,377,840003236994098,6,B2,231,2025-07-01,2,3,3,6:58p,4.5,3,32.4,435,2025-07-01,3.4,2.6,1165,4.5,5.6,12.2,8.2,11.6,2025-07-01 18:58:00
447,645,840003236994019,4,B2,266,2025-07-01,2,3,3,7:10p,5.0,3,32.9,447,2025-07-01,4.2,3.2,347,4.7,5.8,12.7,9.0,13.2,2025-07-01 19:10:00
459,746,840003236993312,3,B2,89,2025-07-01,2,3,3,7:21p,5.1,3,43.7,459,2025-07-01,3.3,2.6,24,4.9,6.0,15.6,8.6,11.9,2025-07-01 19:21:00
471,456,840003236993676,5,B2,212,2025-07-01,2,3,3,7:34p,4.5,3,33.4,471,2025-07-01,3.8,3.1,6,4.9,6.0,10.5,9.1,12.9,2025-07-01 19:34:00
483,1195,840003268417703,1,A1,46,2025-07-01,2,3,3,10:53p,3.2,3,21.8,483,2025-07-01,3.6,2.6,49,4.9,6.0,13.8,8.6,12.2,2025-07-01 22:53:00
495,1217,840003268416447,1,A1,30,2025-07-01,2,3,3,11:05p,4.4,3,16.0,495,2025-07-01,3.6,2.6,60,4.8,5.9,9.8,8.5,12.1,2025-07-01 23:05:00
507,1179,840003268417711,1,A1,87,2025-07-01,2,3,3,11:16p,4.2,3,23.0,507,2025-07-01,3.4,2.7,127,4.9,6.0,13.2,8.7,12.1,2025-07-01 23:16:00
519,1224,840003268416437,1,A1,24,2025-07-01,2,3,3,11:31p,3.7,3,26.6,519,2025-07-01,2.7,2.5,133,4.7,5.8,8.6,8.3,11.0,2025-07-01 23:31:00
531,1213,840003268417672,1,A1,37,2025-07-01,2,3,3,11:44p,4.0,3,21.9,531,2025-07-01,3.0,2.3,167,4.3,5.4,12.7,7.7,10.7,2025-07-01 23:44:00
543,985,840003250697506,2,B2,97,2025-07-02,2,1,4,5:58a,4.0,3,56.8,543,2025-07-02,3.4,2.8,3,4.8,5.9,11.9,8.7,12.1,2025-07-02 05:58:00
555,557,840003236994393,5,B2,233,2025-07-02,2,1,4,6:13a,3.9,3,53.6,555,2025-07-02,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2025-07-02 06:13:00
567,616,840003236994014,4,B2,206,2025-07-02,2,1,4,6:28a,5.1,3,33.9,567,2025-07-02,2.2,3.2,6,5.0,6.1,11.0,9.3,11.5,2025-07-02 06:28:00
579,907,840003249943144,2,B2,214,2025-07-02,2,1,4,6:39a,4.2,3,57.7,579,2025-07-02,2.8,2.9,793,4.8,5.9,10.9,8.8,11.6,2025-07-02 06:39:00
591,961,840003250697461,2,B2,235,2025-07-02,2,1,4,6:55a,3.2,3,47.7,591,2025-07-02,3.0,2.9,1281,4.7,5.8,10.2,8.7,11.7,2025-07-02 06:55:00
603,1152,840003268417050,1,A1,178,2025-07-02,2,1,4,9:36a,3.1,3,42.6,603,2025-07-02,3.4,2.8,7,4.9,6.0,11.8,8.8,12.2,2025-07-02 09:36:00
615,1159,840003268417056,1,A1,156,2025-07-02,2,1,4,9:47a,4.3,3,49.5,615,2025-07-02,2.8,2.8,169,4.8,5.9,9.9,8.7,11.5,2025-07-02 09:47:00
627,1171,840003268417037,1,A1,127,2025-07-02,2,1,4,9:57a,3.3,3,46.8,627,2025-07-02,2.0,2.7,123,4.5,5.6,14.8,8.3,10.3,2025-07-02 09:57:00
639,1209,840003268417681,1,A1,32,2025-07-02,2,1,4,10:08a,3.8,3,55.0,639,2025-07-02,2.6,2.4,228,4.9,6.0,12.4,8.4,11.0,2025-07-02 10:08:00
651,1101,840003268416711,1,A1,236,2025-07-02,2,1,4,10:17a,4.1,3,41.6,651,2025-07-02,3.5,3.0,43,4.9,6.0,14.6,9.0,12.5,2025-07-02 10:17:00
663,687,840003236992755,4,B2,255,2025-07-02,2,2,4,11:01a,4.5,3,25.0,663,2025-07-02,2.7,2.8,137,3.8,4.9,14.8,7.7,10.4,2025-07-02 11:01:00
675,901,840003268417022,3,B2,44,2025-07-02,2,2,4,11:11a,4.8,3,23.2,675,2025-07-02,2.8,2.2,15,4.3,5.4,11.2,7.6,10.4,2025-07-02 11:11:00
687,961,840003250697461,2,B2,235,2025-07-02,2,2,4,11:22a,3.2,3,15.6,687,2025-07-02,3.3,3.1,1395,4.6,5.7,11.3,8.8,12.1,2025-07-02 11:22:00
699,985,840003250697506,2,B2,97,2025-07-02,2,2,4,11:35a,4.0,3,30.5,699,2025-07-02,3.6,2.7,39,4.8,5.9,14.7,8.6,12.2,2025-07-02 11:35:00
711,999,840003250697439,2,B2,50,2025-07-02,2,2,4,11:50a,4.7,3,22.6,711,2025-07-02,2.4,2.7,56,4.7,5.9,13.3,8.6,11.0,2025-07-02 11:50:00
723,1147,840003268417066,1,A1,194,2025-07-02,3,2,5,5:31p,5.1,3,28.6,723,2025-07-02,3.9,3.1,205,4.5,5.6,14.7,8.7,12.6,2025-07-02 17:31:00
735,1151,840003268417052,1,A1,182,2025-07-02,3,2,5,5:43p,4.2,3,31.3,735,2025-07-02,3.5,2.9,18,4.7,5.8,11.8,8.7,12.2,2025-07-02 17:43:00
747,1118,840003268416684,1,A1,244,2025-07-02,3,2,5,5:54p,3.9,3,33.2,747,2025-07-02,3.8,3.2,26,4.8,5.9,12.5,9.1,12.9,2025-07-02 17:54:00
759,1133,840003268417071,1,A1,210,2025-07-02,3,2,5,6:05p,3.8,3,29.7,759,2025-07-02,3.2,3.2,320,4.8,5.9,9.6,9.1,12.3,2025-07-02 18:05:00
771,1210,840003268417717,1,A1,35,2025-07-02,3,2,5,6:15p,3.8,3,30.6,771,2025-07-02,3.5,2.8,31,4.8,5.9,11.8,8.7,12.2,2025-07-02 18:15:00
783,992,840003250697416,2,B2,51,2025-07-02,3,3,5,6:27p,3.9,3,39.7,783,2025-07-02,3.4,2.8,34,4.8,5.9,10.3,8.7,12.1,2025-07-02 18:27:00
795,802,840003236992665,3,B2,173,2025-07-02,3,3,5,6:38p,4.9,3,38.4,795,2025-07-02,3.7,2.8,79,4.9,6.0,13.9,8.8,12.5,2025-07-02 18:38:00
807,760,840003236994258,3,B2,276,2025-07-02,3,3,5,6:50p,4.2,3,35.1,807,2025-07-02,3.3,2.8,22,4.8,6.0,12.3,8.8,12.1,2025-07-02 18:50:00
819,907,840003249943144,2,B2,214,2025-07-02,3,3,5,6:59p,4.2,3,36.4,819,2025-07-02,3.9,3.1,1766,4.7,5.8,10.5,8.9,12.8,2025-07-02 18:59:00
831,985,840003250697506,2,B2,97,2025-07-02,3,3,5,7:10p,4.0,3,41.5,831,2025-07-02,3.6,2.8,40,4.8,5.9,12.3,8.7,12.3,2025-07-02 19:10:00
843,1121,840003268416710,1,A1,178,2025-07-02,3,3,5,10:33p,4.2,3,19.3,843,2025-07-02,4.6,3.2,225,4.7,5.8,12.8,9.0,13.6,2025-07-02 22:33:00
855,1157,840003268417026,1,A1,158,2025-07-02,3,3,5,10:43p,4.0,3,22.7,855,2025-07-02,3.6,2.9,311,4.7,5.8,11.6,8.7,12.3,2025-07-02 22:43:00
867,1133,840003268417071,1,A1,210,2025-07-02,3,3,5,10:52p,3.8,3,19.1,867,2025-07-02,3.0,3.0,304,4.7,5.8,9.4,8.8,11.8,2025-07-02 22:52:00
879,1132,840003268417051,1,A1,226,2025-07-02,3,3,5,11:00p,4.7,3,22.2,879,2025-07-02,4.4,3.2,18,4.7,5.8,11.0,9.0,13.4,2025-07-02 23:00:00
891,1192,840003268417694,1,A1,70,2025-07-02,3,3,5,11:11p,3.0,3,17.3,891,2025-07-02,3.2,2.5,203,4.8,5.9,15.0,8.4,11.6,2025-07-02 23:11:00
903,791,840003236994269,3,B2,286,2025-07-03,3,1,6,5:46a,5.6,3,52.4,903,2025-07-03,3.0,2.9,89,4.9,6.0,11.8,8.9,11.9,2025-07-03 05:46:00
915,34,840003236992766,7,B2,159,2025-07-03,3,1,6,5:58a,4.2,3,53.6,915,2025-07-03,2.9,2.9,32,4.6,5.7,9.6,8.6,11.5,2025-07-03 05:58:00
927,377,840003236994098,6,B2,233,2025-07-03,3,1,6,6:11a,4.5,3,48.8,927,2025-07-03,3.2,2.6,731,4.4,5.5,10.8,8.1,11.3,2025-07-03 06:11:00
939,746,840003236993312,3,B2,91,2025-07-03,3,1,6,6:21a,5.0,3,65.7,939,2025-07-03,3.0,2.6,33,4.9,6.1,13.2,8.7,11.7,2025-07-03 06:21:00
951,655,840003236994015,4,B2,292,2025-07-03,3,1,6,6:32a,5.0,3,30.2,951,2025-07-03,4.3,3.5,5629,4.3,5.4,9.1,8.9,13.2,2025-07-03 06:32:00
963,1172,840003268417032,1,A1,133,2025-07-03,3,1,6,9:12a,3.2,3,48.9,963,2025-07-03,2.1,2.7,198,4.6,5.7,10.8,8.4,10.5,2025-07-03 09:12:00
975,1162,840003268417028,1,A1,110,2025-07-03,3,1,6,9:21a,3.7,3,47.9,975,2025-07-03,2.9,2.6,32,5.0,6.1,12.7,8.7,11.6,2025-07-03 09:21:00
987,1181,840003268417712,1,A1,91,2025-07-03,3,1,6,9:31a,4.1,3,51.1,987,2025-07-03,3.0,2.8,0,4.9,6.0,10.4,8.8,11.8,2025-07-03 09:31:00
999,1145,840003268417034,1,A1,191,2025-07-03,3,1,6,9:41a,3.4,3,47.5,999,2025-07-03,3.3,3.0,158,4.9,6.0,10.6,9.0,12.3,2025-07-03 09:41:00
1011,1213,840003268417672,1,A1,38,2025-07-03,3,1,6,9:51a,4.0,3,50.3,1011,2025-07-03,2.3,2.2,26,4.3,5.4,11.2,7.6,9.9,2025-07-03 09:51:00
1023,985,840003250697506,2,A1,98,2025-07-03,3,2,6,11:05a,4.0,3,23.4,1023,2025-07-03,4.1,2.7,19,4.8,5.9,12.1,8.6,12.7,2025-07-03 11:05:00
1035,687,840003236992755,4,A1,256,2025-07-03,3,2,6,11:15a,5.0,3,24.0,1035,2025-07-03,3.1,2.8,136,3.8,4.9,11.8,7.7,10.8,2025-07-03 11:15:00
1047,961,840003250697461,2,A1,236,2025-07-03,3,2,6,11:26a,3.2,3,20.4,1047,2025-07-03,3.9,3.0,1699,4.5,5.6,10.3,8.6,12.5,2025-07-03 11:26:00
1059,210,840003236992754,7,A1,125,2025-07-03,3,2,6,11:36a,4.8,3,19.3,1059,2025-07-03,3.7,2.6,43,4.8,5.9,13.5,8.5,12.2,2025-07-03 11:36:00
1071,377,840003236994098,6,A1,233,2025-07-03,3,2,6,11:47a,4.5,3,24.7,1071,2025-07-03,4.5,2.5,1194,4.3,5.4,13.5,7.9,12.4,2025-07-03 11:47:00
